date,country,n,score
2019-06-12,Spain,12,0.5902959166666666
2019-06-13,Spain,24,0.5965661666666667
2019-06-14,Spain,14,0.5312658571428571
2019-06-15,Spain,27,0.5244873333333333
2019-06-16,Spain,17,0.6470945882352941
2019-06-17,Spain,21,0.510593
2019-06-18,Spain,27,0.5585574074074073
2019-06-19,Spain,31,0.6017644838709677
2019-06-20,Spain,32,0.56433475
2019-06-21,Spain,39,0.5844065641025641
2019-06-22,Spain,52,0.6093065769230769
2019-06-23,Spain,26964,0.5969146235721703
2019-06-24,Spain,85238,0.5906242288533283
2019-06-25,Spain,84830,0.5956314298479312
2019-06-26,Spain,86852,0.5955399836503478
2019-06-27,Spain,68973,0.5960921654415495
2019-06-28,Spain,85682,0.6005882339697953
2019-06-29,Spain,80478,0.5995546616839385
2019-06-30,Spain,83194,0.59343506525711
2019-07-01,Spain,84315,0.5930662089426555
2019-07-02,Spain,11995,0.5868437228011671
2019-07-03,Spain,66945,0.5846719261483306
2019-07-04,Spain,91088,0.6024086986540489
2019-07-05,Spain,11024,0.6004976505805515
2019-07-06,Spain,62,0.6026329193548388
2019-07-07,Spain,27717,0.5890090211061804
2019-07-08,Spain,88238,0.592562873954532
2019-07-09,Spain,89060,0.5946049587805974
2019-07-10,Spain,86987,0.5968059275523928
2019-07-11,Spain,80052,0.5909619629365912
2019-07-12,Spain,74972,0.5925500176999413
2019-07-13,Spain,81431,0.5979610268079724
2019-07-14,Spain,82597,0.5904244749325036
2019-07-15,Spain,83688,0.5922332738146449
2019-07-16,Spain,84110,0.5950886181072406
2019-07-17,Spain,83720,0.5925545994983278
2019-07-18,Spain,88376,0.5920679229089345
2019-07-19,Spain,82174,0.5944285831406528
2019-07-20,Spain,78813,0.5937732069836195
2019-07-21,Spain,81893,0.5872960634120132
2019-07-22,Spain,88581,0.5827211732651472
2019-07-23,Spain,86684,0.5829140002422593
2019-07-24,Spain,84376,0.5849036830733857
2019-07-25,Spain,88242,0.5820858197570318
2019-07-26,Spain,81313,0.5902446201591381
2019-07-27,Spain,82533,0.582282231737608
2019-07-28,Spain,77516,0.5834399364647299
2019-07-29,Spain,80251,0.5833292390749024
2019-07-30,Spain,81534,0.5853273112198593
2019-07-31,Spain,80479,0.5861658825035102
2019-08-01,Spain,80682,0.5921713151384448
2019-08-02,Spain,79033,0.5935467800792075
2019-08-03,Spain,75019,0.592447002759301
2019-08-04,Spain,78108,0.5873915854970042
2019-08-05,Spain,78505,0.5862910651550857
2019-08-06,Spain,80956,0.5857268962769899
2019-08-07,Spain,82601,0.5850828225203084
2019-08-08,Spain,82443,0.5859105418531592
2019-08-09,Spain,81362,0.5860555548536172
2019-08-10,Spain,78108,0.5877042543273416
2019-08-11,Spain,80040,0.5831476724512744
2019-08-12,Spain,82391,0.581338799298467
2019-08-13,Spain,84137,0.5844404642309566
2019-08-14,Spain,83640,0.5884080027020564
2019-08-15,Spain,79532,0.591243650731781
2019-08-16,Spain,82045,0.584517912803949
2019-08-17,Spain,83207,0.583025711610802
2019-08-18,Spain,87349,0.576349026880674
2019-08-19,Spain,83161,0.5810091474128498
2019-08-20,Spain,85528,0.5788775056589655
2019-08-21,Spain,86927,0.5806085184925281
2019-08-22,Spain,86873,0.5789089527586246
2019-08-23,Spain,83333,0.5841599740078961
2019-08-24,Spain,83514,0.5850569538161267
2019-08-25,Spain,88642,0.5815507159134496
2019-08-26,Spain,85913,0.5791599045313283
2019-08-27,Spain,83617,0.580093363992968
2019-08-28,Spain,85793,0.580102640926416
2019-08-29,Spain,89983,0.5812576942978118
2019-08-30,Spain,85340,0.5850638944223108
2019-08-31,Spain,83830,0.5852656273649052
2019-09-01,Spain,90285,0.5798361058979897
2019-09-02,Spain,87694,0.580437451615846
2019-09-03,Spain,84136,0.5822186737900542
2019-09-04,Spain,84787,0.5837136412185829
2019-09-05,Spain,82957,0.587540216124016
2019-09-06,Spain,81605,0.5917225312664665
2019-09-07,Spain,76755,0.5925190821314573
2019-09-08,Spain,85895,0.5881729613714419
2019-09-09,Spain,82657,0.5879641748067315
2019-09-10,Spain,81259,0.5853806979165385
2019-09-11,Spain,89374,0.5866063738111754
2019-09-12,Spain,83216,0.5927899223947317
2019-09-13,Spain,86920,0.5912846189254487
2019-09-14,Spain,83839,0.5938774024499338
2019-09-15,Spain,92322,0.5944614275795586
2019-09-16,Spain,81330,0.5943118177179393
2019-09-17,Spain,90591,0.5887010931659877
2019-09-18,Spain,88060,0.5870618029638882
2019-09-19,Spain,66173,0.5889064062533057
2019-09-20,Spain,80623,0.59947502696501
2019-09-21,Spain,81101,0.5995439828855378
2019-09-22,Spain,85497,0.5905547428447782
2019-09-23,Spain,86502,0.5937575442533121
2019-09-24,Spain,89067,0.5907758074595529
2019-09-25,Spain,86629,0.5966546337369703
2019-09-26,Spain,86455,0.5981388819732808
2019-09-27,Spain,82394,0.602303899798529
2019-09-28,Spain,82303,0.6019248272723959
2019-09-29,Spain,84778,0.5950018738351931
2019-09-30,Spain,79635,0.5944699633201481
2019-10-01,Spain,88890,0.5870270722915965
2019-10-02,Spain,72612,0.5855323419820415
2019-10-03,Spain,86580,0.5877167736197737
2019-10-04,Spain,82193,0.5979582240215103
2019-10-05,Spain,82338,0.5988856781680391
2019-10-06,Spain,89312,0.5870074407358473
2019-10-07,Spain,82441,0.5899111223905581
2019-10-08,Spain,85098,0.5897598169287175
2019-10-09,Spain,82792,0.5906690043120107
2019-10-10,Spain,85695,0.5869770643794854
2019-10-11,Spain,79021,0.595948737981043
2019-10-12,Spain,84500,0.5952419455739645
2019-10-13,Spain,85402,0.5831418439849183
2019-10-14,Spain,106244,0.5692507013384285
2019-10-15,Spain,98223,0.5760405902894434
2019-10-16,Spain,101394,0.5740589717143026
2019-10-17,Spain,98785,0.5786362601103406
2019-10-18,Spain,101935,0.5818131289743463
2019-10-19,Spain,101733,0.5788036806640913
2019-10-20,Spain,97694,0.576619219378877
2019-10-21,Spain,89257,0.5811737125939702
2019-10-22,Spain,89014,0.5802629303592693
2019-10-23,Spain,85939,0.585193364304914
2019-10-24,Spain,92291,0.5853259764657441
2019-10-25,Spain,79863,0.5983671278439328
2019-10-26,Spain,83705,0.5920164889194194
2019-10-27,Spain,91522,0.5827274755140841
2019-10-28,Spain,84703,0.5866733155496263
2019-10-29,Spain,84898,0.5877906532898302
2019-10-30,Spain,84585,0.5902745545073004
2019-10-31,Spain,83638,0.5987944327339247
2019-11-01,Spain,81422,0.5904075841173148
2019-11-02,Spain,84911,0.5816815519426223
2019-11-03,Spain,91734,0.5770785957333159
2019-11-04,Spain,108085,0.5824294637276218
2019-11-05,Spain,90430,0.5868008985513656
2019-11-06,Spain,91965,0.5911651993584516
2019-11-07,Spain,92777,0.5873634068680814
2019-11-08,Spain,84579,0.5962924025585546
2019-11-09,Spain,82313,0.5924916502739543
2019-11-10,Spain,114243,0.5758415090377529
2019-11-11,Spain,96105,0.5771307308152541
2019-11-12,Spain,99632,0.5818969286072748
2019-11-13,Spain,89665,0.5850901722745776
2019-11-14,Spain,89695,0.5898392723340209
2019-11-15,Spain,21805,0.5940438116028434
2019-11-17,Spain,79027,0.5869556509673909
2019-11-18,Spain,82315,0.5878164870072283
2019-11-19,Spain,88659,0.5848110467972794
2019-11-20,Spain,42726,0.5927015627720825
2019-11-21,Spain,58641,0.5904759592605856
2019-11-22,Spain,83274,0.5971473283497851
2019-11-23,Spain,81200,0.5955017375
2019-11-24,Spain,86653,0.5924173296250562
2019-11-25,Spain,86287,0.5857446114941997
2019-11-26,Spain,88430,0.5876153051679294
2019-11-27,Spain,84844,0.592636395408043
2019-11-28,Spain,83266,0.5954121526433359
2019-11-29,Spain,78998,0.5985922442593483
2019-11-30,Spain,75995,0.5967418769524311
2019-12-01,Spain,86445,0.5863404095089363
2019-12-02,Spain,80806,0.5865295446501497
2019-12-03,Spain,83344,0.5910198767757727
2019-12-04,Spain,82158,0.5890607103873026
2019-12-05,Spain,80634,0.5972019804176899
2019-12-06,Spain,76099,0.5964305200331148
2019-12-07,Spain,73633,0.5918884263034238
2019-12-08,Spain,77838,0.5883573964644518
2019-12-09,Spain,79938,0.5842452294903551
2019-12-10,Spain,81966,0.587081351548203
2019-12-11,Spain,84271,0.5893704940845605
2019-12-12,Spain,84437,0.5913682582754006
2019-12-13,Spain,80587,0.5967096130889598
2019-12-14,Spain,79216,0.5948698081826904
2019-12-15,Spain,89861,0.5847332353078644
2019-12-16,Spain,84614,0.5874784638712269
2019-12-17,Spain,82734,0.5885544864022046
2019-12-18,Spain,89113,0.5846807213762302
2019-12-19,Spain,86220,0.5907699806193458
2019-12-20,Spain,81563,0.5980184386180007
2019-12-21,Spain,75436,0.595993248873217
2019-12-22,Spain,81502,0.5905489870064539
2019-12-23,Spain,74673,0.599952271235922
2019-12-24,Spain,78125,0.62846111872
2019-12-25,Spain,72205,0.6120887156568106
2019-12-26,Spain,71298,0.5909654252433448
2019-12-27,Spain,74724,0.5908062133584926
2019-12-28,Spain,74423,0.5916103476344678
2019-12-29,Spain,75122,0.5869750133516147
2019-12-30,Spain,81966,0.5888807722836298
2019-12-31,Spain,87342,0.6327269853907627
2023-01-01,Spain,90593,0.6329204018743171
2023-01-02,Spain,71981,0.6122371543601783
2023-01-03,Spain,115350,0.5985581179107066
2023-01-04,Spain,52825,0.6000879046474207
2023-01-05,Spain,72221,0.6100351997479958
2023-01-06,Spain,69590,0.6041987453369736
2023-01-07,Spain,82086,0.5993136273176912
2023-01-08,Spain,101526,0.586189725754979
2023-01-09,Spain,92759,0.591477313349648
2023-01-10,Spain,100174,0.5991098183660432
2023-01-11,Spain,82239,0.5961937617067329
2023-01-12,Spain,84438,0.5993539238257656
2023-01-13,Spain,74011,0.6044971154828336
2023-01-14,Spain,102028,0.6005476794311365
2023-01-15,Spain,67660,0.5365572092373633
2023-01-16,Spain,110259,0.6042217421616376
2023-01-17,Spain,102105,0.6027715361735468
2023-01-18,Spain,131481,0.5993215661578479
2023-01-19,Spain,253593,0.5987292835843261
2023-01-20,Spain,166521,0.60061005375298
2023-01-21,Spain,56519,0.5997904891806294
2023-01-22,Spain,78004,0.6019954577329367
2023-01-23,Spain,72739,0.6067811126355875
2023-01-24,Spain,77239,0.5966186825955799
2023-01-25,Spain,63475,0.5950872280740449
2023-01-26,Spain,115145,0.5550356610968779
2023-01-27,Spain,60569,0.5991400961382886
2023-01-28,Spain,71629,0.6031589330019964
2023-01-29,Spain,65467,0.598091613897078
2023-01-30,Spain,88081,0.6040605449756473
2023-01-31,Spain,96906,0.6040333586671619
2023-02-01,Spain,101234,0.6067300661339076
2023-02-02,Spain,144727,0.5990346722933523
2023-02-03,Spain,107727,0.6056698609169474
2023-02-04,Spain,69888,0.6043538261933379
2023-02-05,Spain,99791,0.5989599810303534
2023-02-06,Spain,104614,0.5958470180759745
2023-02-07,Spain,54123,0.5987587120447869
2023-02-08,Spain,64171,0.598540178102258
2023-02-09,Spain,88112,0.6002386291084074
2023-02-10,Spain,65796,0.601548605796705
2023-02-11,Spain,63127,0.6081504753433553
2023-02-12,Spain,55908,0.6056557379802533
2023-02-13,Spain,155751,0.5915798732720817
2023-02-14,Spain,73261,0.6097621217018605
2023-02-15,Spain,76828,0.5912912035325663
2023-02-16,Spain,73261,0.5903156232647657
2023-02-17,Spain,68649,0.6067442799895119
2023-02-18,Spain,75827,0.6067068365753624
2023-02-19,Spain,80629,0.6014585737389774
2023-02-20,Spain,98517,0.5975811150968868
2023-02-21,Spain,68797,0.5890350358300507
2023-02-22,Spain,69268,0.6002437790466016
2023-02-23,Spain,78973,0.5981380141187496
2023-02-24,Spain,115421,0.5861507015014599
2023-02-25,Spain,53565,0.5973423484551479
2023-02-26,Spain,139473,0.6009282099546148
2023-02-27,Spain,126666,0.601169495081553
2023-02-28,Spain,66118,0.609129289467316
2023-03-01,Spain,82889,0.6010217001411526
2023-03-02,Spain,75519,0.607076507210106
2023-03-03,Spain,61718,0.6043363574483943
2023-03-04,Spain,84025,0.6425828719428741
2023-03-05,Spain,91531,0.5976904789743365
2023-03-06,Spain,83374,0.5995603912370764
2023-03-07,Spain,135467,0.5974610064222283
2023-03-09,Spain,98075,0.5962042046698955
2023-03-10,Spain,63980,0.6082002637386683
2023-03-11,Spain,94559,0.6023154156346832
2023-03-12,Spain,73820,0.5951395571660796
2023-03-13,Spain,63969,0.5946185520799138
2023-03-14,Spain,69993,0.599172398639864
2023-03-15,Spain,8147,0.594996111820302
2023-03-20,Spain,140719,0.600813416809386
2023-03-21,Spain,116699,0.6061361611324861
2023-03-22,Spain,105495,0.6106758434333381
2023-04-04,Spain,25682,0.6046450061132311
2023-04-05,Spain,42773,0.6052834572043111
2023-04-06,Spain,38778,0.6113977432564857
2023-04-07,Spain,23778,0.6098138860711582
2023-04-08,Spain,30813,0.6028832520364781
2023-04-09,Spain,53642,0.59592364427128
2023-04-10,Spain,28218,0.6010962394216457
2023-04-11,Spain,32940,0.59930592380085
2023-04-12,Spain,31499,0.6003255677005619
2023-04-13,Spain,47037,0.6054453439845229
2023-04-14,Spain,63483,0.6126330885748941
2023-04-15,Spain,54928,0.6120995213188173
2023-04-16,Spain,87432,0.5924107708619271
2023-04-17,Spain,53968,0.5997473486510525
2023-04-18,Spain,36936,0.6064787220056314
2023-04-19,Spain,45225,0.6091764373908237
2023-04-20,Spain,15428,0.6096078470961888
2023-04-21,Spain,5433,0.6172215008282717
2023-04-22,Spain,16,0.661253
2023-04-23,Spain,19573,0.6223488109129923
2023-04-24,Spain,23282,0.60373607821493
2023-04-25,Spain,20247,0.6005225465994962
2023-04-26,Spain,18825,0.6057562645949536
2023-04-27,Spain,14992,0.6001204637139809
2023-04-28,Spain,22276,0.6091464954210809
2023-04-29,Spain,5661,0.6132325815226992
2023-04-30,Spain,6324,0.6044172507906389
2023-05-01,Spain,13767,0.6001786781433864
2023-05-02,Spain,24969,0.6000713884817174
2023-05-03,Spain,67471,0.6059028050569875
2023-05-04,Spain,60618,0.6090032003200369
2023-05-05,Spain,13794,0.6075168517471364
2023-05-06,Spain,29952,0.6153531842280983
2023-05-07,Spain,36383,0.6146113003050875
2023-05-08,Spain,49617,0.6052185972549731
2023-05-09,Spain,223,0.5589328789237669
2023-05-10,Spain,24837,0.6041750795587228
2023-05-11,Spain,13991,0.6016102894718033
2023-05-12,Spain,66561,0.6157854219738285
2023-05-13,Spain,78231,0.614394100919073
2023-05-14,Spain,71833,0.6025646296688152
2023-05-15,Spain,53933,0.6146695973893535
2023-05-16,Spain,29049,0.6073686244621158
2023-05-17,Spain,34617,0.6010513632608256
2023-05-18,Spain,33426,0.6065640767366721
2023-05-19,Spain,59482,0.6142895375575805
2023-05-20,Spain,75384,0.6171384121564257
2023-05-21,Spain,42486,0.6038149991055878
2023-05-22,Spain,50273,0.5970864153123944
2023-05-23,Spain,29337,0.5946608713229028
2023-05-24,Spain,18161,0.6060515821265349
2023-05-25,Spain,1428,0.6320775826330532
2023-05-26,Spain,22713,0.6111453994188351
2023-05-27,Spain,24636,0.6052488593115766
2023-05-28,Spain,12038,0.5957305137896661
2023-05-29,Spain,27614,0.5924135738393568
2023-05-30,Spain,23724,0.6129573173157984
2023-05-31,Spain,22149,0.6090354518939907
2023-06-01,Spain,33389,0.6108373966575819
2023-06-02,Spain,23481,0.6126151429666539
2023-06-03,Spain,9854,0.6103731792165618
2023-06-04,Spain,17699,0.6099348430419798
2023-06-06,Spain,11671,0.6041928100419844
2023-06-07,Spain,23932,0.6034993212853084
2023-06-08,Spain,12350,0.6195589719838057
2023-06-09,Spain,22645,0.6161106712740119
2023-06-10,Spain,20773,0.6088299241804266
2023-06-11,Spain,21044,0.6051900679053411
2023-06-12,Spain,20915,0.6026602072675113
2023-06-13,Spain,30887,0.6057774741476997
2023-06-14,Spain,25083,0.6052528844237133
2023-06-15,Spain,24183,0.6082754850514824
2023-06-16,Spain,17786,0.6080785188350387
2023-06-17,Spain,59047,0.6102531717276067
2021-01-01,Spain,78005,0.6286187627972566
2021-01-02,Spain,69247,0.5851546736753939
2021-01-03,Spain,72588,0.5813435017771532
2021-01-04,Spain,71489,0.5771187654604205
2021-01-05,Spain,77793,0.5834557179823378
2021-01-06,Spain,77932,0.5891523792665401
2021-01-07,Spain,75431,0.5781786832469409
2021-01-08,Spain,82201,0.5745788224960767
2021-01-09,Spain,101342,0.564576660397466
2021-01-10,Spain,87728,0.5733330111936896
2021-01-11,Spain,65022,0.5752460402632954
2021-01-12,Spain,80617,0.5751627380081125
2021-01-13,Spain,78271,0.5750870306499214
2021-01-14,Spain,80509,0.572178238544759
2021-01-15,Spain,75514,0.5779454870487593
2021-01-16,Spain,73889,0.583568162974191
2021-01-17,Spain,81903,0.5771006403062159
2021-01-18,Spain,71929,0.578249982413213
2021-01-19,Spain,75289,0.5749181195792213
2021-01-20,Spain,22265,0.5797654300022457
2021-01-21,Spain,66808,0.5766417029098312
2021-01-22,Spain,74519,0.5788961920986594
2021-01-23,Spain,76322,0.5810239025051754
2021-01-24,Spain,79979,0.5781746849297942
2021-01-25,Spain,68582,0.5759886719547403
2021-01-26,Spain,77629,0.5754372506408687
2021-01-27,Spain,75067,0.5782501565668003
2021-01-28,Spain,75506,0.5823336956268377
2021-01-29,Spain,70883,0.59063876019638
2021-01-30,Spain,76534,0.5802231045156402
2021-01-31,Spain,80049,0.5798335182450749
2021-02-01,Spain,72081,0.5840588891386079
2021-02-02,Spain,70149,0.5847061265734366
2021-02-03,Spain,76222,0.5827210903282517
2021-02-04,Spain,74981,0.5823125059415052
2021-02-05,Spain,69291,0.5906939612792426
2021-02-06,Spain,75877,0.5842821849835919
2021-02-07,Spain,82774,0.5843049214125209
2021-02-08,Spain,70368,0.5832986416837199
2021-02-09,Spain,71178,0.5870122053022002
2021-02-10,Spain,74960,0.5857642181830309
2021-02-11,Spain,77695,0.5842901666645215
2021-02-12,Spain,69104,0.5971550951753879
2021-02-13,Spain,71706,0.596309762209578
2021-02-14,Spain,84010,0.5948260633257946
2021-02-15,Spain,68442,0.5806690513719647
2021-02-16,Spain,79214,0.5845106443179237
2021-02-17,Spain,73108,0.5834620910023526
2021-02-18,Spain,73432,0.5857224365263101
2021-02-19,Spain,65348,0.5907281730427862
2021-02-20,Spain,71226,0.5893330679667538
2021-02-21,Spain,72224,0.5845089629901418
2021-02-22,Spain,66078,0.5860106367777475
2021-02-23,Spain,65274,0.5909336278610167
2021-02-24,Spain,65734,0.5902031290808408
2021-02-25,Spain,69470,0.585123776176767
2021-02-26,Spain,64547,0.5946176835484221
2021-02-27,Spain,64490,0.5927739552798883
2021-02-28,Spain,69576,0.5992202939375647
2021-03-01,Spain,67136,0.5917940479325549
2021-03-02,Spain,64010,0.5905405808779878
2021-03-03,Spain,72411,0.5755074658684454
2021-03-04,Spain,70832,0.5832127569883668
2021-03-05,Spain,64975,0.593636286848788
2021-03-06,Spain,66347,0.5974935210484272
2021-03-07,Spain,74525,0.5844754554847367
2021-03-08,Spain,73235,0.5965956866252474
2021-03-09,Spain,65193,0.5873367365054529
2021-03-10,Spain,78375,0.5807975408995215
2021-03-11,Spain,71578,0.5854304247673866
2021-03-12,Spain,68873,0.5967978865447999
2021-03-13,Spain,66665,0.592251288682217
2021-03-14,Spain,73907,0.5906168587549218
2021-03-15,Spain,78864,0.5879466790550821
2021-03-16,Spain,68982,0.5922413260850656
2021-03-17,Spain,71721,0.5870076126796894
2021-03-18,Spain,68713,0.5944901988415583
2021-03-19,Spain,38875,0.6090773783922829
2021-03-20,Spain,65724,0.5950722972430161
2021-03-21,Spain,72646,0.5911896081408474
2021-03-22,Spain,67508,0.5877205020293891
2021-03-23,Spain,64597,0.5911247934269395
2021-03-24,Spain,71481,0.5899969594017991
2021-03-25,Spain,71777,0.5898550438162642
2021-03-26,Spain,67438,0.5981109085233844
2021-03-27,Spain,68665,0.5931477565280711
2021-03-28,Spain,64700,0.5923105168624421
2021-03-29,Spain,59692,0.5898778828486229
2021-03-30,Spain,62204,0.5912390651565815
2021-03-31,Spain,62509,0.5945877005391224
2021-04-01,Spain,61364,0.5966736605501598
2021-04-02,Spain,60706,0.5971092876157217
2021-04-03,Spain,64041,0.5901057215221498
2021-04-04,Spain,68380,0.5874260826411232
2021-04-05,Spain,64336,0.5838435366202437
2021-04-06,Spain,66632,0.5861192903259695
2021-04-07,Spain,67034,0.5840057728466151
2021-04-08,Spain,68088,0.5873568248443191
